رزیدنت_ایول	توسعه‌دهنده	کپ‌کام
جان_گالیانو	محل_تولد	جبل_طارق
آگاما	شاخه	طنابداران
لوییس_آراگونز	باشگاه‌های_مربیگری	باشگاه_فوتبال_فنرباغچه
اندیس_آنومالی_خسروی	محصولات	طلا
مؤسسه_همشهری	موقعیت	تهران
رای	موضوع	رادیو
داشبلاغ	منطقه	شهرستان_هشترود
راگنار_نورکس	بوهاlma_mater	دانشگاه_ادینبرو
حلوه	منطقه	استان_آذربایجان_غربی
جان_فورسایت	تحصیلات	دانشگاه_پرینستون
سوسمار_ایتالیایی	پناهگاه	طنابداران
خریستینیفکا	بخشی_از	اوکراین
مرتضی_رستمی	نمونه‌ای_از	پerson
زرگر	شهرستان	آبیک
فنلاند	جمعیت_as_of	2008
استان_چرنیوتسی	مرکز_شهرستان	چرنیوتسی
لا_ورن،_کالیفرنیا	بخشی_از	ایالات_متحده_آمریکا
اندیس_جنگستر	جفenesis	دگرگونی
پادشاهی_پروس	حرفtatus	امپراتوری_آلمان
جف_بینگامن	نیرو	رئیس‌جمهور_ایالات_متحده_آمریکا
پالایشگاه_نفت_امام_خمینی_شازند	محصول	گازوئیل
دهوک	توابع	شهرستان_دشتی
کرج	سوغات	سنجد
شتاب	کشور	ایران
کانگوروی_دم‌قلمویی_کوتوله	جفenus	کانگوروی_دم‌قلمویی
دورنیه_328	نوع	هواپیمای_مسافربری
شین‌هوآ	مسیر_type_abbreviation	خبرگزاری
شجاع‌الدین_شفا	شغل	پژوهش
حزب_کارگران_سوسیالیست_اسپانیا	درternational_affiliation	انترناسیونال_سوسیالیست
قره‌دیو	روستایی_district	آلمالو
کروناویروس	حرفubdivision	گاماکروناویروس
اکتیویژن	دفتر_مرکزی	ایالات_متحده_آمریکا
لیگ_برتر_فوتبال_برزیل	سقوط_به	لیگ_دسته_دوم_فوتبال_برزیل
قنات_ارقی	استان	استان_خراسان_جنوبی
ادگاردو_کودسال	اهل	مکزیک
گوستاو_مالر	بوهاlma_mater	دانشگاه_وین
فریدریش_نیچه	تأثیرگذار_بر	لئو_اشتراوس
هاشم‌آباد	منطقه	استان_کرمان
فیلیپ_راث	درfluenced_by	سال_بلو
فرار	کارگردان	جمشید_حیدری
چئونگ_کا-فای	شغل	تدوین‌گر
بسکتبال_در_بازی‌های_المپیک_تابستانی_1968	جفames	بازی‌های_المپیک_تابستانی_1968
علیرضا_قزوه	شغل	شاعر
فایرچت	عملating_system	اندروید
کوهسار_جان	لنگuage	زبان_چینی
آبگوشت	درgredient	پیاز
رئیس‌جمهور_ایتالیا	سبک	عالی‌جناب
جرج_سانتایانا	ایده‌های_چشمگیر	نخبه‌سالاری
درها	ثبت_label	الکترا_رکوردز
ایسلند	رهبر_name	اولافور_راگنار_گریمسون
ناواهو	جمعیت_place	آریزونا
امره	منطقه	شهرستان_ساری
محمد_مصدق	جانشین	الیزابت_دوم
کینگ_کونگ	بازیگر	جک_اوهالوران
اورال،_قزاقستان	ناحیه_زمانی_۱	00+
ورزشگاه_ملی_رومانی	ورزشگاه_خانگی	تیم_ملی_فوتبال_رومانی
ونزوئلا	واحد_پول	بولیوار_ونزوئلا
مهرماه_سلطان	کودک	عایشه_هماشاه_سلطان
لاکهید_مارتین	مستقر_by	لاکهید_کورپوریشن
حسن_غفوری‌فرد	ملیت	مردمان_ایرانی
بث_فاولر	موضوع	مقاله‌های_ویکی‌پدیا_همراه_شناسه‌های_VIAF
الی،_نوادا	بخشی_از	ایالات_متحده_آمریکا
دنیای_آب	تهیه‌کننده	چارلز_گوردن
ویلهلم_مارکس	محل_مرگ	آلمان_تحت_اشغال_متفقین
مک_ویلکینس	واقعه	پرتاب_دیسک
چارلز_اسپورگئون	محل_مرگ	فرانسه
دریای_آدریاتیک	نزدیکترین_city	ریمینی
توسیا	نوع	کد_پستی
مسابقات_قهرمانی_کشتی_جهان_2010	سعادتious	مسابقات_قهرمانی_کشتی_جهان_2009
فدراسیون_فوتبال_سنگاپور	منطقه	کنفدراسیون_فوتبال_آسیا
حسین_طائب	محل_تحصیل	حوزه_علمیه_تهران
بیمینی،_باهاما	مرکز_شهرستان	آلیس_تاون
نیکولای_کرستینسکی	محل_کار	حزب_کمونیست_اتحاد_شوروی
حماس	بنیانگذار	محمود_الزهار
جمهوری_چک	نوع_حکومت	جمهوری
میرک_نقاش	مکتب	مکتب_هرات
وینس_ادواردز	ملیت	ایالات_متحده_آمریکا
ایمانوئل_کانت	ایده‌های_قابل‌توجه	نقد_قوه_حکم
مردم_لر	لنگuage	لری_بویراحمدی
شهرستان_نوادا،_کالیفرنیا	حرفo_named_since	شرکت_شهردار
سانتا_ئولالیا_د_اسکس	منطقهٔ_زمانی	زمان_اروپای_مرکزی
گالینا_گوروخوا	است	شمشیربازی
دانشگاه_ایالتی_اکلاهما	شهر	استیلواتر،_اکلاهما
دانشگاه_غیرانتفاعی_صنعتی_تبریز	تأسیس	1372
یوپی‌اس_ایرلاینز	از_رویent_company	یونایتد_پارسل_سرویس
علی‌محمد_رنجبر	جانشین	عباس_انواری
دو_و_میدانی_در_بازی‌های_المپیک_تابستانی_2016_–_پرتاب_دیسک_مردان	محل	ورزشگاه_المپیک_ژائو_هاولانژ
انگوران	دهستان	شهرستان_ماهنشان
آلاسکا_ایرلاینز	مکان	سیاتل،_واشینگتن
سلیم_یکم	کودک	بیخان_سلطان
شهرستان_حاجی‌آباد	زبان	بندری
ریموند_اسمولیان	محل_تولد	ایالات_متحده_آمریکا
میتسوبیشی_توپو	طرح‌بندی	خودروی_محورجلو
دارون	مراسم_County	لانکاشر
سازدهنی_کروماتیک	مورد_مرتبط	سازدهنی_دیاتونیک
پیروز_ارجمند_تاج‌الدینی	اعضای_گروه	کانون_آهنگسازان_سینمای_ایران
پاتریشیا_رزما	موضوع	مقاله‌های_ویکی‌پدیا_همراه_شناسه‌های_BIBSYS
خانم‌آباد	بخش	شهرستان_روانسر
ژدانیفکا	نوع	رایون
مسیح_شخصی	ناشر	میوت_رکوردز
رترام،_آیداهو	سال_جمعیت	سرشماری_2010_ایالات_متحده_آمریکا
فاکس_قرن_بیستم	مستقر_by	ویلیام_فاکس
عراد	ناحیه_زمانی_۱	00+
فرودگاه_نویابرسک	مکان	نویابرسک
راه_سبز_امید	رنگ	سبز
اودک	مرکز	فدکس_اکسپرس
نیو_راشل،_نیویورک	منطقهٔ_زمانی	منطقه_زمانی_شرقی
لالو_شیفرین	سبک	بیباپ
صادق‌آباد	منطقه	شهرستان_بوئین‌زهرا
ادوارد_دی._وایت	نامزد	ویلیام_هووارد_تفت
تحت_تعقیب	سیستم‌ها	اکس‌باکس_360
ترزا_می	پس_از	دیوید_کامرون
ادگلی،_داکوتای_شمالی	منطقهٔ_زمانی	منطقه_زمانی_مرکزی
من_همسرش_هستم	کشور	ایران
محمدمهدی_سلطانی_سروستانی	محل_اقامت	تهران
میخک‌سانان	شاخه	گیاهان_گلدار
ب_آ_اس_اف	محدودهٔ_فعالیت	جهانی
دانشگاه_غیرانتفاعی_صنعتی_گیلان	تأسیس	1372
تل‌آویو	سال‌شهرشدن	11_آوریل
خرس	پناهگاه	طنابداران
دونالد_ترامپ	فرزندان	دونالد_ترامپ_جونیور
T1	موسس_باشگاه	کمپانی_SK_Telecom
سادات‌محله	توابع	شهرستان_ساری
باشگاه_فوتبال_استقلال_تهران	مدیرعامل	رضا_افتخاری
سید_برت	سبک	سایکدلیک_راک
فریدریش_شیلر	گونهٔ_ادبی	رمانتیسم
بیژن‌آباد	منطقه	شهرستان_جیرفت
فریدریش_آوگوست_فون_هایک	محل_مرگ	بادن-وورتمبرگ
ژک_الن_میلر	محل_تحصیل	اکول_نرمال_سوپریور
کوهک	روستایی_district	شهرستان_جهرم
شش‌لول	سیستم‌ها	اکس‌باکس
ان‌جی‌سی_6570	دوران	مبدأ
اندیس_حسین_نا	محصول	سرب
سرخس_انگوری	سلسله	گیاه
بلوز	ساز	ساکسوفون
ولادیمیر_لنین	آرامگاه	آرامگاه_لنین
برایان_مگی	محل_مرگ	آکسفورد
شرکت_چاپخانه_گوتنبرگ	موقعیت	تهران
بورس_اوراق_بهادار_هنگ_کنگ	بنیاد	1809
دانشگاه_آریزونای_شمالی	حالت	آریزونا
ویلیام_گادوین	درfluenced	هربرت_رید
اپل_ولی،_مینه‌سوتا	ناحیه_زمانی_۱	منطقه_زمانی_مرکزی
اسماعیل‌آباد	منطقه	دیهوک
رابرت_نلر	نبرد	حمله_ایالات_متحده_آمریکا_به_پاناما
پایگاه_هوایی_رتیشچوو	آر1-ظاهر	بتن
اندیس_بانجا	محصولات	طلا
هاشم‌آباد	روستا	شهرستان_مهریز
بنیاد_مردمی_رعایت_اصول_اخلاقی_در_برابر_جانوران	مستقر_by	اینگرید_نوکرک
کازانووای_فلینی	بازیگر	دونالد_ساترلند
تاجیکستان	بزرگترین_city	دوشنبه
قنات_میرآباد،_درمیان	کشور	ایران
گزین	بخش	شهرستان_قصر_شیرین
فیلیپ_یکم_سلوکی	سلف	سلوکوس
زبان_کنوجی	گفتار_in	هند
پاقلعه	روستا	شهرستان_مهدی‌شهر
جام_جهانی_فوتبال_1938	حرفtadium	ورزشگاه_ولودروم
اینکوم،_آیداهو	است_،_part_of	ایالات_متحده_آمریکا
کارن_جانیبکیان	از_رویtner	سوس_جانیبکیان
احمدآباد	روستا	شهرستان_عنبرآباد
قنات_گلنام،_سربیشه	کشور	ایران
سم_اسماعیل	موضوع	همه_مقاله‌های_ویکی‌پروژه_نسخه_آفلاین
ایرآسیا	مرکز	فرودگاه_بین‌المللی_کوالالامپور
ننانا،_آلاسکا	نوع	زیپ‌کد
اسماعیل_سلطانیان	زمینه_فعالیت	کارگردان_فیلم
خاک_سرخ	بازیگر	پرویز_پرستویی
ادموند_هوسرل	محل_مرگ	فرایبورگ
پنلوپه_کروز	دانشکده_Award	2008
دهوییه	بخش	استان_کرمان
مایکروسافت_ویندوز	محاسبات_platform	x86-64
فرودگاه_شهرستان_آدامز	مالک	شهرستان_ادامز،_ویسکانسین
باب_رابرتس	فیلم_director	تیم_رابینز
کانگوروی_خرگوشی	فهرست_زیرطبقه‌های_آرایه‌شناختی	کانگوروی_خرگوشی_بینی‌دراز
کاظم_میرولد	موضوع	افراد_زنده
باشگاه_گلف_ارومیه	موقعیت	ارومیه
رضا_وهدانی	درfluenced_by	اسماعیل_مهرتاش
موزه_کالوست_گلبنکیان	خودer	پرتغال
سایکدلیک_ترنس	سبک_گرا_origin	موسیقی_ترنس
فیض‌آباد	بخش	شهرستان_بوئین‌زهرا
برایان_مگی	درfluenced_by	آرتور_شوپنهاور
خیرآباد	منطقه	قم
هامادا	گُل	آزالیا
قنات_محمداکبرپیرزهی،_سراوان	بخش	بخش_مرکزی_شهرستان_سراوان
رکه	عنوان_حاکم	شهردار
استانیسلاف_اسمیرنف	محل_کار	دانشگاه_ژنو
بیوک_رینیر	مربوط_mean_of_transportation	شورولت_اس‌اس‌آر
لهجه_دامغانی	خانوادهcolor	زبان‌های_هندواروپایی
روث_پورت	موضوع	مقاله‌ها_با_اچ‌کاردها
شجاع‌الدین_شفا	محل_تولد	ایران
یورقل	منطقه	زیویه
فرودگاه_براتسک	سطح_باند	بتن
هیولت_پاکارد	مستقر_by	ویلیام_ردینگتون_هیولت
ایوا_سورینی	نمونه‌ای_از	پerson
ورا_ونتسل	محل_تولد	بوداپست
جمهوری_اتریش_آلمانی	پول	کرون_اتریش
باغ_نظر	زمان_تاسیس	دوره_قاجار
تل_نقاره	بخش	شهرستان_ممسنی
مایان	توابع	تاکستان
داتچا	عنوان_حاکم	شهردار
گناباد	سوغات	پسته
فدراسیون_جهانی_بورس	شهر	لندن
آورا_دیون	ابزار	خوانندگی
خلیفه‌لو	شهرستان	میانه
چله‌گاه	منطقه	شهرستان_ممسنی
گلستان	روستا	فیروزآباد
ورزشگاه_لوکوموتیو	خانه_stadium	باشگاه_فوتبال_لوکوموتیو_تاشکند
بیدو	روستا	شهرستان_جیرفت
ملک‌محمد_مسعودی	درfluenced_by	اسماعیل_مهرتاش
مرداب‌سوار_زرشکی	شاخه	بندپایان
ماگدا_کونوپکا	موضوع	مقاله‌های_دارای_الگوی_یادکرد-ویکی
آفتاب‌پرست	رده	خزندگان
پایگاه_هوایی_کازلو_رودا	سطح_of_runway	بتن
پرویز_مظلومی	باشگاه‌های_مربیگری	باشگاه_فوتبال_استقلال_تهران
سرنوشت_شکسته	محاسبات_Media	یوام‌دی
سرو	توابع	خلیفان
فرهاد_پنجم	والد	ملکه_موزا
هیوندای_گرانجور	طرح	خودروهای_موتور_جلو-محور_جلو
بزرگ_لشگری	ساز	ویولن
کلمبیا_هایتس،_مینه‌سوتا	عنوان_حاکم	شهردار
گویش_روشنی	سد	زبان‌های_پامیری
باشگاه_فوتبال_نساجی_مازندران	فصلی	لیگ_برتر_فوتبال_ایران_98–1397
جرج_سانتایانا	ایده‌های_چشمگیر	شک‌گرایی
قلعه‌جوق	بخش	شهرستان_سراب
شهرستان_رودسر	شهر	چابکسر
رع	سبک	پراگرسیو_راک
حسین‌آباد	بخش	شهرستان_کوهبنان
تیکانلو	منطقه	زیویه
بیدیان	بخش	گیاهان_گلدار
اوستیای_شمالی-آلانیا	نوع	جمهوری‌های_روسیه
قاسم_رضایی	ورزش	کشتی_فرنگی
رویال_رامبل	مکان	پنسیلوانیا
شهرستان_نوادا،_کالیفرنیا	نوع	شهرستان_در_آمریکا
واترپلو_در_بازی‌های_المپیک_تابستانی_2008	قبلی	واترپلو_در_بازی‌های_المپیک_تابستانی_2004
جزایر_ویرجین_بریتانیا	جمعیت_as_of	2007
منکیتو،_مینه‌سوتا	سال_جمعیت	سرشماری_2010_ایالات_متحده_آمریکا
سرآسیاب	بخش	شهرستان_هرسین
حمزه‌آباد	توابع	شهرستان_تنکابن
باشگاه_فوتبال_رئال_بتیس	جفround	ورزشگاه_بنیتو_ویلامارین
اس‌تی‌اس-61-سی	برنامه	برنامه_شاتل‌های_فضایی
به‌سوی_طبیعت_وحشی	بازیگران	امیل_هرش
جیوردانو	مسیر_type_abbreviation	شرکت_سهامی_عام
فرودگاه_کپیتل_آبراهام_لینکن	سطح_of_runway	بتن
نشخوارکنندگان	راسته	جفت‌سم‌سانان
رضا_چراغی	محل_تولد	ایران
سال_بلو	بوهاlma_mater	دانشگاه_ویسکانسین-مدیسن
قنات_احمدیه	منطقه	شهرستان_کرمان
برسیال_د_ساپاردیل	منطقهٔ_زمانی	زمان_اروپای_مرکزی
باشگاه_بسکتبال_توزین_الکتریک_کاشان	محل	ایران
زرگر	روستا	شهرستان_شاهرود
جام_جهانی_فوتبال_1982	بهترین_بازیکن	پائولو_روسی
جام_باشگاه‌های_آسیا_01–2000	سوم__سوم	باشگاه_فوتبال_پرسپولیس_تهران
حزب_سوسیال_دموکرات_آلمان	پُست	چپ_میانه
برنهارد_فن_بولو	محل_تحصیل	دانشگاه_لایپزیگ
بالهایی	مذهب	شمن‌باوری
شیخ_علی	بخش	استان_خوزستان
خودتو_غرق_کن	ثبت_label	شیدی_رکوردز
چک	بازیگر	جمشید_مشایخی
دهستان_حومه	منطقه	شهرستان_خرمشهر
سوزوکی_کیزاشی	طرح‌بندی	خودروهای_موتور_جلو-محور_جلو
عزت‌الله_مهرآوران	زمینه_فعالیت	رادیو
انقلاب_میخک	روشs	ایستادگی_مدنی
استان_ماترا	ناحیه_زمانی_۱	زمان_اروپای_مرکزی
حمید_سجادی	دو_و_میدانی	پرتاب_دیسک
النبک	عنوان_حاکم	فرماندار
یادگار_دوست	هنرمند	کامبیز_روشن‌روان
سلطان_حمید_سلطان	مذهب	اسلام
نائومی_نوویک	نویسنده	اژدهای_پادشاه
حیدرآباد	روستا	شهرستان_تنکابن
جام_ملت‌های_آفریقا_1986	داور	فدراسیون_فوتبال_تونس
مارکوس_آئورلیوس	فرزندان	کومودوس
گاستون_باشلار	تأثیرگذار_بر	میشل_سر
اندیس_بلوطستان2	محصول	نمک
حسینعلی_منتظری	کودک	محمد_منتظری
لورنگائو	نوع	کد_پستی
امیل_بلانشار	محل_مرگ	فرانسه
دمبل	پناهگاه	قارچ‌های_فنجانی
بافی_قاتل_خون‌آشام‌ها	آهنگساز_موسیقی_فیلم	کارتر_برول
لطفعلی‌خان_زند	سکوی_رایانش	مایکروسافت_ویندوز
فردینان_دو_سوسور	درfluenced	میشل_فوکو
دامینیک_سینا	اهل	ایالات_متحده_آمریکا
مخور	بخش	استان_همدان
پرنده_آوازخوان	ترتیب_(taxonomy)	گنجشک‌سانان
موتور_فضایی	تولید‌کننده	هوافضای_ایران
قلقله	روستا	شهرستان_دالاهو
چولونی_خولان	شغل	هنرپیشه
موزه_صنایع_دستی	موقعیت	خراسان_جنوبی
ایرمفرید_ابرل	محل_مرگ	آلمان_تحت_اشغال_متفقین
جعبه_موسیقی	بازیگران	نیکی_کریمی
نبرد_کارپی	قسمتی‌از	جنگ‌های_جانشینی_اسپانیا
نشریه_هراگیرنر	زبان	زبان_ارمنی
باغ_آلبالو	سبک	درام
جان_کارپنتر	درfluenced_by	داریو_آرجنتو
کان‌پور	رسمی_languages	زبان_اردو
دولت‌آباد	بخش	استان_کرمان
ادسخر_دیکسترا	دلیل_شهرت	بخش_بحرانی
امامعلی_رحمان	از_رویty	حزب_دموکراتیک_خلق
تونسینا،_آلاسکا	سال_جمعیت	سرشماری_2010_ایالات_متحده_آمریکا
عبدالفتاح_سیسی	نخست‌وزیر	ابراهیم_محلب
جان_دارلی	محل_تولد	مینه‌سوتا
تور_در_دود	مکان‌ها	کانادا
میشل_سر	علایق_اصلی	فلسفه_علم
استان_ترنوپیل	نوع	کد_پستی
سایوز_تی‌ام-7	فرود	1989
فضولی	است_،_part_of	دفاکتو
ویس_احمد_برمک	رئیس_جمهور	محمداشرف_غنی
تورنتو_رپتورز	سال_تاسیس	کانادا
پیتر_گیچ	حرفpouse	الیزابت_انسکوم
شرکت_ارتباطات_زیرساخت	مالک	وزارت_ارتباطات_و_فناوری_اطلاعات
آناباسیس	کشور	یونان
لوک_اویل	رئیس_هیات_مدیره	واحد_علی‌اکبروف
دانشگاه_توبینگن	حالت	بادن-وورتمبرگ
جلال_آل‌احمد	رشته‌ی_تحصیلی	ادبیات
شهرستان_لنجان	شهر	فولادشهر
گردیان	منطقه	کوهسار
منطقه_مارکهام	کشور	پاپوآ_گینه_نو
تیم_ملی_فوتبال_ترکمنستان	اولین_حضور_در_جام_منطقه‌ای	جام_ملت‌های_آسیا_2004
قنات_هیدوچ،_سراوان	بخش	بخش_مرکزی_شهرستان_سراوان
ماریا_جوزف_آستوریاس	حرفpouse	آگوستوس_سوم_لهستان
بخش_مرکزی_شهرستان_سمیرم	شهرها	حنا
جام_ملت‌های_آفریقا_1998	حرفtadium	آواگادوگو
دافوس	رئیس_جمهور	سرتیپ_دوم
بهزاد_فراهانی	تاریخ_تولد	1323
اسماعیل_رنگرز	کشور	ایران
سعید	مرکز	هواپیمایی_بین‌المللی_پاکستان
تیرآباد	بخش	شهرستان_نائین
مرد_سیندرلایی	توزیع_کننده	تاچ‌استون_پیکچرز
دروغگویی_از_تو	هنرمند_موسیقیدان	لینکین_پارک
تئوری_بیگ_بنگ	خلق‌کننده	چاک_لوری
جیمز_هولمز	محل_تولد	سن_دیگو
کلرمونت	موسس_باشگاه	دکتر_مارسل_میشلین
عربی_بحرانی	گفتار_in	قطیف
کوشکوئیه	منطقه	شهرستان_بافق
اسلحه_مرگبار_2	بازیگر	مل_گیبسون
ستره	بخشی_از	بحرین
حسین‌علی‌میرزا_فرمانفرما	سلسله	قاجاریان
پرویز_تناولی	رشته‌ی_تحصیلی	هنر
خلیج_هادسون	محل	آمریکای_شمالی
کاخ_چهلستون	موقعیت	اصفهان
فریازان	روستا	شهرستان_تویسرکان
میون_نوترینو	ترکیب	ذرات_بنیادی
فیلیپین	سرود	سرود_ملی_فیلیپین
داینو_کرایسیس	طراح	هیرویوکی_کوبایاشی
جمال_ثریا	ویکیپراژهای_هدایت_شده	جمال_ثريا
اترنال_بلو	پیش_رویes	ویندوز_ام‌ای
زبان_آذری	زبان_رایج_در	جمهوری_آذربایجان
چنگدو_جی-10	هواپیما_user	جفommander
حسین‌آباد	توابع	شهرستان_کوهبنان
ناسا	پس_از	کمیته_رایزنی_ملی_هوانوردی_آمریکا
اندیس_زفره-1	نوع	مصالح_ساختمانی
آرژانتین	دامنه_اینترنتی	.ar
زین‌العابدین_شیروانی	محل_دفن	ایران
حزب_ملل_اسلامی	توصیف	ربع_حزب
ناحیه_خودگردان_چوکوتکا	بوهاdm_ctr_name	آنادیر
قادرآباد	روستا	شهرستان_بافت
قهوه_و_سیگار	کارگردان	جیم_جارموش
اندیس_مرمریت_3316	جفenesis	دگرگونی
سرنوشت_شکسته	سکوی_رایانش	پلی‌استیشن_همراه
مجسمه	بازیگران	هرمز_هدایت
المپیک_مارسی	سال_تاسیس	1899
باشگاه_فوتبال_شاختار_دونتسک	ورزشگاه	اوکراین
کلیسای_مریم_مقدس	مکان	استان_اردبیل
دریم‌ورکس_انیمیشن	کلید_person	ملودی_هابسون
کوکل	نوع	کشور
شهرستانک	بخش	شهرستان_خدابنده
کریستین_اوتو	شنا_style	کرال_پشت
تاونتون_دین	ناحیه_زمانی_۱	ساعت_تابستانی_بریتانیا
لادیسلاو_اسمولیاک	موضوع	درگذشتگان_2010_(میلادی)
دمیرچی	دهستان	آلمالو
احمدوند	بخش	شهرستان_دلفان
یوسف_بن_عبدالرحمن_الفهری	سلف	عبدالرحمن_بن_کثیر_اللخمی
غلامحسین_یوسفی	زمینه_فعالیت	شاعر
تیم_ملی_فوتبال_جمهوری_چک	مربی	پاول_وربا
ولز	بنیانگذار_date	1056
اندیس_منگنز_کلچاد	محصول	منگنز
شاهزاده_محمد	توابع	شهرستان_راور
استاروبیلسک	نوع	کد_پستی
اسکاد	جنگ‌ها	جنگ_در_افغانستان
دیتریچ،_آیداهو	نوع	شهر
محمود_دولت‌آبادی	آثار	کارنامه_سپنج
آواسی	ناحیه_زمانی_۱	زمان_شرق_آفریقا
نیروی_هوایی_سلطنتی_سعودی	هواپیما_attack	مک‌دانل_داگلاس_اف-15_ایگل
محسن_حجاریان	دانشگاه	دانشگاه_ایالتی_داکوتای_جنوبی
باغ_میر	منطقه	شهرستان_جیرفت
شهرستان_نووی_ییچین	ناحیه_زمانی_۱	زمان_اروپای_مرکزی
تیم_ملی_بسکتبال_روسیه	منطقه_championship	فیبا_یوروبسکت
سوزوکی_کیزاشی	طرح	خودروهای_موتور_جلو-محور_جلو
تاپ_گان	فیلم_سازی	جفری_ال._کیمبل
16_روز_در_افغانستان	فیلم_director	میثاق_کاظمی
جعفرآباد	روستایی_district	جوشین
آنتونیو_کونته	تیم‌های_مربیگری	باشگاه_فوتبال_یوونتوس
حسین_شهاب	ملیت	مردمان_ایرانی
ویت_پارک،_مینه‌سوتا	بخشی_از	ایالات_متحده_آمریکا
قنات_جمالی،_درمیان	استان	استان_خراسان_جنوبی
دایره_جنایی	گونه	معمایی
ادمونتون_اویلرز	موسس_باشگاه	بیل_هانتر
کارل_شارپلس	درstitution	روزنامه
کانرد_وارنر	محل_مرگ	نیویورک
قنات_گلمیران،_درمیان	شهرستان	شهرستان_درمیان
حیدرآباد	توابع	شهرستان_لالی
کاسترپل	حزب_حاکم	حزب_کارگران_سوسیالیست_اسپانیا
جام_جهانی_فوتبال_1990	بهترین_بازیکن	سالواتوره_اسکیلاچی
تی-سیستمز	محصول	برون‌سپاری
جروم،_آیداهو	سال_جمعیت	سرشماری_2010_ایالات_متحده_آمریکا
دولت‌آباد	دهستان	ابرغان
اوانجلیستا_توریچلی	دانشگاهی_discipline	ریاضیات
مراکش	بنیانگذار_date	2_مارس
سان_فرانسیسکو	نوع	شهر
حزب_مردم_پاکستان	عبادت	مردم‌سالاری_اسلامی
تانوجا	ملیت	هند
دلوث،_مینه‌سوتا	عنوان_حاکم	شهردار
فرود_در_غربت	موسیقی_composer	حمیدرضا_دیبازر
باشگاه_فوتبال_مالاگا	تاریخ_تأسیس	1904
گراندس_ای_سان_مارتین	ناحیه_زمانی_۱	زمان_اروپای_مرکزی
کلود_لوی-استروس	دانشکده_فلسفی	ساختارگرایی
خوانسار	استان	اصفهان
عباس_میرزا	محل_دفن	ایران
کاظم‌آباد	توابع	شهرستان_شفت
بیگ_لیک،_مینه‌سوتا	بخشی_از	ایالات_متحده_آمریکا
صومعه	روستا	شهرستان_سبزوار
تری_پاین	موقعیت	مهاجم
نیروی_دریایی_سپاه_پاسداران_انقلاب_اسلامی	برچسب	نیروهای_ویژه_دریایی_سپاه
پتروفسکه	اطلاعات	اقلیم_قاره‌ای_مرطوب
حزب_سوسیال_دموکرات_آلمان	عبادت	سوسیال_دموکراسی
کوروش_بزرگ	فرزندان	بردیا
اوانجلیستا_توریچلی	بوهاlma_mater	دانشگاه_ساپینزا_رم
فریدریش_بسل	رشتهٔ_دانشگاهی	ریاضیات
فریدریش_هاینریش_یاکوبی	درfluenced_by	آدام_اسمیت
شفیع‌آباد	روستا	شهرستان_سمیرم
عرب‌آباد	منطقه	دیهوک
سان_میگل_د_کرنخا	ناحیه_زمانی_۱	زمان_اروپای_مرکزی
گوردن_وست	پُست	دروازه‌بان
مجارستان	عنوان_حاکم	نخست‌وزیر
ایاغچی	منطقه	بخش_زیویه
دانیل_دی-لوئیس	سلف	فارست_ویتاکر
دانشگاه_ایالتی_پنسیلوانیا	ایالت	پنسیلوانیا
النا_نویکوا-بلووا	ورزش	شمشیربازی
تبریز	حرفouvenir	چرم
احمد_الشقیری	موضوع	مقاله‌های_ویکی‌پدیا_همراه_شناسه‌های_ISNI
وزنه‌برداری_در_بازی‌های_المپیک_تابستانی_2016_–_85_کیلوگرم_مردان	محل	ریوسنترو
اس‌تی‌اس-51-سی	ایستگاه_پرتاب	مجتمع_پرتاب_39_پایگاه_فضایی_کندی
کانگوروی_دم‌قلمویی_قلمو-دم	ترتیب_(taxonomy)	کیسه‌داران_علف‌خوار
کاسو	ناحیه_زمانی_۱	زمان_اروپای_مرکزی
فرودگاه_سنت_جتی‌راوشمی	سطح_of_runway	شن
بانک_کشاورزی_چین	محصول	وام_مسکن
د_هندسام_فمیلی	خانه_town	ایالات_متحده_آمریکا
جرج_واشنگتن	محل_مرگ	ایالات_متحده_آمریکا
جمهوری_دومینیکن	مرکز	سانتو_دومینگو
خروس	فیلم_سازی	نصرت‌الله_کنی
فرودگاه_نیو_چیتوز	سطح_باند	بتن
زبان‌های_هندوایرانی	منطقه	اروپای_جنوب_شرقی
دهستان_اسلام‌آباد	روستایی_district	شهرستان_جیرفت
پایگاه_هوایی_لاوسن	مالک	رئیس‌جمهور_ایالات_متحده_آمریکا
رجنلد_بیرکت	محل_تولد	لندن
کانگوروی_خرگوشی_درازپا	ترتیب_(taxonomy)	کیسه‌داران_علف‌خوار
شاهدخت_تسوگوکوی_تاکامادو	از_رویent	شاهدخت_تاکامادو
ساگا	زیربخش_اداری	استان_ساگا
آدولف_مایر	محل_کار	دانشگاه_هاله-ویتنبرگ
گو_چوک_تونگ	نخست_وزیر_minister	لی_هسین_لونگ
سازمان_مجاهدین_خلق_ایران	پُست	چپ
بیل_جونز	محل_تولد	والی_بریج
حسین_بصیر	نظامی_branch	فرمانده
بجک	توابع	شهرستان_بهبهان
احمد_خانی	درfluenced	هیمن
دونی،_آیداهو	سال_جمعیت	سرشماری_2010_ایالات_متحده_آمریکا
جنبش_وفاق_ملی_عراق	دفتر_مرکزی	بریتانیا
جنگل‌های_هیرکانی	تصویر_caption	سی‌سنگان
نسیم_وصل	سعادتious_work	فریاد
کاخ_هشت‌بهشت	شهرستان	اصفهان
پل_اپورث	ساز	درام
